id,x_pixel,y_pixel
13,2565.516143798828,327.49468994140625
14,2578.813262939453,606.476318359375
15,2585.975555419922,881.7472534179688
16,2598.0380859375,1167.8127746582031
17,2609.4971313476562,1448.8967895507812
18,2621.0287170410156,1731.5367431640625
19,2312.340850830078,1862.815673828125
20,2302.060760498047,1577.1788330078125
21,2287.71533203125,1298.290771484375
22,2278.1387939453125,1013.9817504882812
23,2264.3985290527344,735.6030883789062
24,2255.6016845703125,451.5013427734375
25,1316.735595703125,555.0835571289062
26,2024.6578369140625,722.8468627929688
27,1937.2755737304688,915.888671875
28,1939.4349365234375,1196.8889465332031
29,1963.5567932128906,1478.5874328613281
30,1971.7469482421875,1762.2454223632812
31,1665.2373352050781,1884.6094360351562
32,2135.813232421875,1362.7603149414062
33,1638.9420776367188,1314.2572631835938
34,1628.3113708496094,1035.3352966308594
35,1615.3801879882812,755.6531066894531
36,973.2702026367188,698.68798828125
37,1126.9599609375,465.58929443359375
38,1907.5801391601562,323.9676208496094
39,2189.348388671875,312.3853759765625
40,2470.2368774414062,299.7871398925781
41,2755.261474609375,286.9060974121094
45,2618.991485595703,609.8515930175781
46,2336.2936401367188,621.2718505859375
48,1904.6543273925781,588.2649536132812
49,1649.2254638671875,975.8006286621094
50,1934.0323486328125,959.164306640625
51,2215.5433349609375,948.8408813476562
52,2497.5155639648438,937.8460693359375
57,2646.4819946289062,1238.1706848144531
58,2363.2779541015625,1255.265869140625
59,2076.033447265625,1263.6363830566406
60,286.4585876464844,1197.560546875
61,1233.1807861328125,1451.6656341552734
62,1953.7649841308594,1586.1785888671875
63,2237.1207275390625,1579.1184692382812
64,2511.2982788085938,1566.1215209960938
69,2682.26171875,1873.5054321289062
70,2402.242156982422,1884.6043090820312
71,2118.2845764160156,1895.5563049316406
72,1829.8636779785156,1907.2046813964844
2528,2608.1941528320312,1823.4006958007812
2529,2603.8438110351562,1726.6196899414062
2530,2617.1146240234375,1670.068115234375
2531,3025.6807250976562,1548.2068786621094
2532,2116.431610107422,1311.196517944336
2533,2979.6162719726562,1122.7947425842285
2534,2809.1932983398438,1546.156982421875
2535,2581.9758911132812,1212.0252685546875
2536,2365.9127807617188,790.9119491577148
2537,2544.746063232422,930.8594665527344
2538,2570.482666015625,955.5369567871094
2539,2567.0709228515625,875.4057922363281
2540,2566.250244140625,783.6561279296875
2541,3017.7589721679688,599.3549346923828
2542,2913.1011962890625,430.1841735839844
2543,3046.814208984375,402.7879943847656
2544,3110.7540283203125,1204.482177734375
2545,2546.1719970703125,370.7252502441406
2546,2542.4090576171875,288.24005126953125
2547,2540.2452087402344,207.1747589111328
2548,2317.571746826172,188.4524688720703
2549,2320.237274169922,284.96820068359375
2550,2323.9271240234375,374.7730712890625
2551,2326.456298828125,459.7476806640625
2552,2327.801483154297,553.5165710449219
2553,2331.6039428710938,990.1851196289062
2554,2336.9656372070312,858.4891967773438
2555,2342.965576171875,798.8916931152344
2556,2117.9239349365234,785.4507751464844
2557,2341.4545288085938,960.3564147949219
2558,2098.317108154297,1645.8746337890625
2559,2149.9712829589844,1716.1878662109375
2560,2465.7772827148438,1184.9615173339844
2561,2694.5762939453125,1131.2974853515625
2562,2641.1845092773438,740.4388732910156
2563,2395.7650146484375,1582.5136108398438
2564,2801.2557373046875,1329.5998229980469
2565,1924.74755859375,1660.9984436035156
2566,1930.209213256836,1844.2196044921875
2567,2378.1447143554688,1805.0740356445312
2568,2172.264434814453,1842.1901245117188
2569,2168.6607055664062,1742.6766662597656
2570,2179.1019897460938,1645.5220336914062
2571,2162.007110595703,1570.9019165039062
2572,2168.0264892578125,1470.151611328125
2573,2324.8843994140625,1414.1829528808594
2574,2147.9925842285156,1317.6242065429688
2575,2168.4926147460938,1219.9034729003906
2576,2395.7423706054688,1142.0504760742188
2577,2613.663818359375,684.3178405761719
2578,2293.2828369140625,700.0888595581055
2579,2130.354278564453,896.464111328125
2580,2127.8036499023438,804.4215087890625
2581,2124.191925048828,722.8355712890625
2582,2192.4322509765625,387.5906982421875
2583,2114.203094482422,553.1994323730469
2584,2114.3028869628906,468.7001647949219
2585,2116.5699768066406,384.9011535644531
2586,2107.599395751953,303.59698486328125
2587,2104.5551147460938,227.52439880371094
2588,1884.1714477539062,210.49789428710938
2589,1334.12255859375,484.3086853027344
2590,1302.4122314453125,568.6759643554688
2591,1267.0070190429688,608.2929077148438
2592,1897.0433654785156,565.3138122558594
2593,1203.0695190429688,815.3297119140625
2594,2029.849853515625,104.48541259765625
2595,1899.4293823242188,807.3307800292969
2596,1904.76123046875,895.4912719726562
2597,1907.2666015625,980.4736938476562
2598,1918.7096557617188,1062.4933471679688
2599,2078.25732421875,743.9582214355469
2600,1577.0115051269531,562.3955688476562
2601,1911.9948120117188,1246.7659912109375
2602,1644.5018005371094,1465.5407104492188
2603,2304.4547729492188,1453.9601745605469
2604,1930.9649047851562,1574.1553649902344
2605,1935.5043334960938,1651.7391967773438
2606,1937.1883544921875,1740.0061645507812
